Obs,day,hour,wdsp,msl
1,15,0,13,1013.4
2,15,1,15,1013.3
3,15,2,13,1012.8
4,15,3,13,1011.6
5,15,4,16,1011.2
6,15,5,16,1010.9
7,15,6,13,1010.2
8,15,7,11,1010.2
9,15,8,12,1010.1
10,15,9,12,1010.5
11,15,10,16,1010.7
12,15,11,14,1011.1
13,15,12,13,1011.3
14,15,13,12,1011.3
15,15,14,12,1011.2
16,15,15,11,1011.3
17,15,16,7,1011.5
18,15,17,5,1011.7
19,15,18,3,1012
20,15,19,5,1012.2
21,15,20,8,1011.9
22,15,21,8,1012.1
23,15,22,8,1012.2
24,15,23,6,1012
25,16,0,5,1011.3
26,16,1,3,1011.6
27,16,2,6,1010.7
28,16,3,8,1008.9
29,16,4,11,1008.1
30,16,5,14,1008.5
31,16,6,12,1005
32,16,7,16,1004
33,16,8,17,1002.2
34,16,9,16,1000.3
35,16,10,19,998.9
36,16,11,24,998.5
37,16,12,25,996.3
38,16,13,32,993.3
39,16,14,33,991.1
40,16,15,30,989.8
41,16,16,28,991.3
42,16,17,26,992.5
43,16,18,25,993.8
44,16,19,26,995.6
45,16,20,24,997.6
46,16,21,26,999.4
47,16,22,31,1001.2
48,16,23,35,1002.4
49,17,0,35,1004.7
50,17,1,30,1006.7
51,17,2,27,1009.1
52,17,3,19,1010.3
53,17,4,18,1011.2
54,17,5,17,1012.1
55,17,6,15,1012.9
56,17,7,14,1013.6
57,17,8,15,1014.5
58,17,9,16,1015.2
59,17,10,16,1015.6
60,17,11,17,1015.9
61,17,12,20,1016
62,17,13,20,1015.4
63,17,14,17,1015.6
64,17,15,16,1015.7
65,17,16,12,1015.5
66,17,17,10,1015.8
67,17,18,3,1016.1
68,17,19,4,1016.1
69,17,20,5,1016
70,17,21,5,1016.2
71,17,22,4,1016.2
72,17,23,4,1015.9
73,15,0,21,1013.4
74,15,1,21,1012.8
75,15,2,21,1012.2
76,15,3,22,1011.5
77,15,4,21,1011
78,15,5,20,1010.5
79,15,6,18,1010.9
80,15,7,17,1010.6
81,15,8,18,1010.8
82,15,9,17,1011.1
83,15,10,15,1011.3
84,15,11,12,1011.5
85,15,12,11,1011.3
86,15,13,9,1011.2
87,15,14,9,1011.1
88,15,15,9,1010.7
89,15,16,6,1010.6
90,15,17,2,1010.6
91,15,18,3,1010.5
92,15,19,5,1010.5
93,15,20,8,1010.3
94,15,21,9,1010.5
95,15,22,6,1010.3
96,15,23,8,1009.9
97,16,0,11,1008.7
98,16,1,11,1007.1
99,16,2,14,1005.7
100,16,3,15,1003.9
101,16,4,22,1000.3
102,16,5,23,997.8
103,16,6,25,995
104,16,7,30,993.3
105,16,8,40,992.1
106,16,9,40,991.3
107,16,10,44,987.7
108,16,11,55,982.7
109,16,12,59,982.8
110,16,13,50,985.7
111,16,14,40,990.5
112,16,15,37,992.8
113,16,16,42,996
114,16,17,43,999.3
115,16,18,36,1002.3
116,16,19,33,1004.7
117,16,20,30,1007.8
118,16,21,27,1009.3
119,16,22,22,1011.4
120,16,23,21,1012.6
121,17,0,20,1013.4
122,17,1,17,1014.4
123,17,2,15,1015.2
124,17,3,14,1015.7
125,17,4,15,1015.8
126,17,5,13,1016.2
127,17,6,10,1016.7
128,17,7,9,1017
129,17,8,8,1017.7
130,17,9,6,1018.1
131,17,10,5,1018.1
132,17,11,5,1018.1
133,17,12,7,1018
134,17,13,9,1017.5
135,17,14,7,1016.8
136,17,15,7,1016.2
137,17,16,7,1015.9
138,17,17,6,1015.7
139,17,18,6,1015.8
140,17,19,5,1015.8
141,17,20,5,1015.3
142,17,21,4,1015.1
143,17,22,6,1014.8
144,17,23,7,1014.2
