1,4,6.8,4.8,8.2,10.4,14.1,12.7,14.7,11.6,13.2,11,1.8
2,1.9,10,5.5,8,8.8,13.9,14.2,15.8,13.2,11.4,9.1,5.5
3,2.7,5.5,6.5,9.7,10.5,12.5,14.6,15.7,15.3,9.9,8.8,7.7
4,4,3.2,6.4,8.9,10.9,11.6,16.5,13.5,16.7,11.6,6.5,6.8
5,4.9,1.7,4.8,8.8,10.3,11.6,14.9,12.7,13.9,10.7,5.4,7
6,10,5.1,3.8,8.3,9.7,11.8,16.9,12.9,13.7,9.6,9.6,11.2
7,9.3,4.4,6,8.1,11.9,12,15.5,14.1,14.1,12.5,6.6,5.7
8,9.3,3.3,9.6,7.8,8.8,13.8,14.8,13.3,12.8,12.1,6.2,0.8
9,6.8,4.3,8.8,8.2,7.6,13.6,16.2,14,12.8,12.1,10.2,0.6
10,7.7,2.6,10.1,7.2,8.4,15.8,14,13.2,12,13,8.4,1.5
11,6.6,2.5,9.7,7.9,10.1,14.3,12.4,16.2,12.6,12.7,7.1,-0.5
12,2.5,3.9,7.8,9.6,11.6,13.7,13.3,14.5,10.8,12.4,4.4,2.9
13,1,6.4,10.5,8.4,11.6,15.9,15.4,13.2,10.1,16.5,4.7,4.4
14,3.5,6.2,11.4,9.8,11.7,15.2,15.2,15,10.4,15.2,10.5,3.2
15,8.3,8.8,10.9,7.3,14.8,14.3,18.8,14.1,10.9,14.3,8.3,4
16,8.7,7.7,8.5,8.9,15,16.3,15.9,16.1,8.8,13.9,6.8,3
17,8.8,9.4,7.6,7.5,11.5,19.6,16.2,15.7,10,9.7,4.6,7.4
18,8.1,10.3,11.3,7.2,9.8,17,16.5,12.8,9.8,9,6,4.8
19,7.2,9.8,11.1,10.5,10.3,17.4,15.7,13.6,12.9,12.8,5.8,9.8
20,6,10.9,7.7,11.2,10.4,15.1,12.2,12.6,14.7,9.8,12.2,10.8
21,0.4,10.3,3.8,10.7,12.7,19.7,13.7,16.4,11.6,11.2,12.8,11.2
22,1.1,8.9,3.7,9.5,14.6,15.6,14.3,16.9,12.8,9.6,8.1,10
23,5.7,6,6.4,8.9,15.3,15.2,16.1,15.8,13.1,13.6,4,9.5
24,9.7,5,5.9,7.2,15.9,14.7,17.2,15.1,14,13,1.7,10.8
25,8.9,9.4,5.4,4.7,16.1,13.2,15.3,15.4,11.8,11.2,1.7,6
26,5.1,7.8,7.5,4.8,18.3,11.3,15.5,15,11.8,10.6,4.7,2.2
27,6.1,3.2,7.6,7.1,13.7,15.6,13.5,17.6,13.3,7.1,6.1,0.9
28,3.8,3.8,8.7,8.3,12.1,12.7,15.1,16.9,13.6,12.1,3,0.8
